iter	Accuracy	MultiClass
0	0.8255575286	1.250879352
1	0.8414990116	1.138157317
2	0.8481395283	1.044192793
3	0.8561209791	0.9694502922
4	0.8598305505	0.9027036563
5	0.8635088817	0.8420429876
6	0.8650630401	0.7926903887
7	0.8623043774	0.7511960206
8	0.8628000398	0.7111626596
9	0.8663994187	0.6752507249
10	0.8726400835	0.6435324251
11	0.875334407	0.6161486516
12	0.8798317763	0.5917296492
13	0.8820565964	0.5694281647
14	0.8871670011	0.5463736704
15	0.8851769307	0.5254027866
16	0.8891690927	0.5041317269
17	0.8877704913	0.4859724637
18	0.8903951633	0.4690114685
19	0.8894971767	0.4543395038
20	0.8905867842	0.4415643531
21	0.8975196809	0.4288501832
22	0.8982836806	0.4168440157
23	0.8978813525	0.4056083102
24	0.9001779405	0.3934928225
25	0.9029199893	0.3837751032
26	0.9018710382	0.3757172829
27	0.9028768566	0.3685997601
28	0.9057171921	0.3600469806
29	0.9075418043	0.3524869676
30	0.9089499508	0.3450928778
31	0.9110429004	0.3394756325
32	0.912005586	0.333007566
33	0.9156240551	0.325368756
34	0.9170442228	0.3193361648
35	0.9187493419	0.3144263143
36	0.9181553967	0.308989344
37	0.9188211097	0.3027560128
38	0.9191707601	0.2976510263
39	0.9194988441	0.2928061058
40	0.9245084897	0.2883890511
41	0.9272576073	0.283852705
42	0.9303132426	0.2797523067
43	0.9320303829	0.2754680441
44	0.9328636744	0.2715398501
45	0.9348417234	0.268620125
46	0.9377297842	0.2651070392
47	0.9394946498	0.2612172113
48	0.9409529978	0.2573336455
49	0.9422653338	0.2546228775
50	0.9436855016	0.2512610209
51	0.9439488865	0.2485123325
52	0.9442554042	0.2444319213
53	0.9455581951	0.2411252672
54	0.9458862791	0.2384268108
55	0.9462454745	0.2354510324
56	0.9449331385	0.2328340798
57	0.9469879079	0.2306003154
58	0.9462765859	0.2285777346
59	0.9473541721	0.2254816983
60	0.9511713309	0.2227708147
61	0.9514683035	0.2199860786
62	0.9521771493	0.2175335966
63	0.9518274989	0.2159235786
