iter	Passed	Remaining
0	10	5457
1	22	5693
2	32	5406
3	42	5238
4	51	5113
5	60	5021
6	83	5902
7	94	5786
8	103	5657
9	112	5495
10	124	5513
11	134	5456
12	143	5358
13	153	5319
14	161	5207
15	168	5111
16	176	5001
17	184	4947
18	197	4987
19	211	5069
20	222	5086
21	231	5029
22	239	4977
23	248	4938
24	258	4906
25	267	4870
26	275	4818
27	283	4782
28	292	4757
29	301	4718
30	308	4669
31	316	4636
32	326	4620
33	335	4592
34	343	4559
35	356	4589
36	366	4582
37	377	4583
38	386	4565
39	397	4565
40	406	4548
41	416	4542
42	430	4571
43	442	4583
44	451	4560
45	459	4537
46	470	4532
47	478	4501
48	490	4515
49	501	4517
50	511	4500
51	520	4486
52	529	4468
53	538	4443
54	546	4420
55	554	4395
56	562	4372
57	570	4348
58	578	4321
59	585	4291
60	592	4264
61	599	4236
62	607	4211
63	614	4184
64	621	4157
65	628	4133
66	636	4110
67	644	4091
68	652	4073
69	661	4063
70	669	4045
71	678	4034
72	689	4035
73	702	4043
74	713	4040
75	721	4026
76	730	4014
77	738	3997
78	745	3973
79	754	3959
80	762	3942
81	769	3924
82	777	3907
83	786	3893
84	794	3877
85	802	3864
86	810	3846
87	817	3827
88	824	3808
89	832	3792
90	839	3773
91	847	3758
92	855	3742
93	863	3729
94	870	3711
95	883	3718
96	891	3705
97	902	3702
98	912	3694
99	920	3683
100	929	3670
101	937	3656
102	944	3641
103	956	3642
104	966	3636
105	975	3624
106	983	3613
107	992	3600
108	999	3587
109	1008	3574
110	1019	3571
111	1028	3564
112	1036	3549
113	1043	3532
114	1052	3522
115	1060	3511
116	1069	3500
117	1077	3487
118	1085	3474
119	1092	3459
120	1100	3446
121	1108	3434
122	1115	3420
123	1123	3407
124	1132	3396
125	1139	3382
126	1145	3365
127	1153	3352
128	1160	3337
129	1168	3325
130	1176	3313
131	1182	3296
132	1192	3289
133	1200	3278
134	1208	3266
135	1216	3254
136	1223	3242
137	1235	3240
138	1245	3235
139	1255	3227
140	1264	3219
141	1273	3210
142	1282	3202
143	1290	3191
144	1301	3186
145	1311	3181
146	1320	3171
147	1331	3167
148	1342	3163
149	1352	3156
150	1361	3147
151	1370	3136
152	1376	3122
153	1386	3114
154	1395	3106
155	1405	3098
156	1413	3089
157	1422	3078
158	1429	3066
159	1437	3055
160	1444	3040
161	1451	3029
162	1462	3024
163	1470	3013
164	1478	3001
165	1486	2990
166	1494	2979
167	1501	2967
168	1509	2956
169	1517	2944
170	1524	2932
171	1532	2921
172	1539	2910
173	1547	2899
174	1555	2889
175	1562	2877
176	1570	2865
177	1578	2855
178	1586	2844
179	1596	2838
180	1606	2832
181	1615	2823
182	1624	2813
183	1632	2803
184	1640	2793
185	1647	2781
186	1656	2772
187	1664	2762
188	1673	2753
189	1686	2752
190	1699	2748
191	1707	2738
192	1717	2731
193	1726	2722
194	1735	2715
195	1743	2704
196	1752	2695
197	1764	2691
198	1774	2684
199	1783	2674
200	1791	2664
201	1799	2654
202	1808	2645
203	1816	2635
204	1824	2626
205	1832	2615
206	1840	2604
207	1847	2593
208	1856	2584
209	1864	2574
210	1872	2565
211	1882	2557
212	1891	2547
213	1898	2537
214	1906	2526
215	1914	2517
216	1923	2508
217	1930	2497
218	1939	2488
219	1947	2479
220	1955	2468
221	1963	2459
222	1970	2447
223	1977	2436
224	1986	2427
225	1993	2416
226	2001	2407
227	2009	2397
228	2015	2385
229	2024	2376
230	2032	2366
231	2040	2357
232	2049	2348
233	2056	2337
234	2064	2328
235	2072	2318
236	2080	2309
237	2088	2299
238	2096	2289
239	2103	2278
240	2111	2268
241	2118	2258
242	2125	2248
243	2132	2237
244	2140	2227
245	2148	2218
246	2155	2208
247	2163	2198
248	2171	2189
249	2178	2178
250	2187	2169
251	2194	2160
252	2202	2150
253	2210	2140
254	2218	2131
255	2226	2122
256	2234	2112
257	2241	2102
258	2249	2092
259	2257	2083
260	2264	2073
261	2272	2063
262	2280	2054
263	2288	2046
264	2296	2036
265	2304	2027
266	2312	2017
267	2320	2008
268	2331	2002
269	2340	1993
270	2351	1986
271	2360	1978
272	2369	1970
273	2377	1961
274	2386	1952
275	2395	1944
276	2403	1934
277	2412	1926
278	2421	1917
279	2429	1908
280	2436	1899
281	2444	1890
282	2452	1880
283	2460	1871
284	2467	1861
285	2475	1852
286	2482	1842
287	2490	1833
288	2498	1824
289	2506	1815
290	2514	1805
291	2523	1797
292	2530	1787
293	2538	1778
294	2549	1771
295	2557	1762
296	2568	1755
297	2576	1746
298	2585	1738
299	2594	1729
300	2602	1720
301	2609	1711
302	2617	1701
303	2625	1692
304	2634	1684
305	2642	1675
306	2650	1666
307	2656	1656
308	2664	1647
309	2672	1638
310	2679	1628
311	2687	1619
312	2695	1610
313	2703	1601
314	2711	1592
315	2719	1583
316	2727	1574
317	2735	1565
318	2744	1557
319	2752	1548
320	2760	1539
321	2768	1530
322	2776	1521
323	2783	1512
324	2791	1503
325	2800	1494
326	2808	1485
327	2817	1477
328	2824	1468
329	2832	1459
330	2838	1449
331	2847	1440
332	2855	1432
333	2863	1423
334	2871	1414
335	2878	1405
336	2886	1396
337	2894	1387
338	2902	1378
339	2909	1369
340	2916	1360
341	2925	1351
342	2933	1342
343	2942	1334
344	2949	1325
345	2957	1316
346	2965	1307
347	2974	1299
348	2982	1290
349	2990	1281
350	2998	1272
351	3007	1264
352	3015	1255
353	3024	1247
354	3031	1238
355	3037	1228
356	3048	1221
357	3059	1213
358	3069	1205
359	3079	1197
360	3088	1189
361	3097	1180
362	3106	1172
363	3114	1163
364	3120	1154
365	3127	1145
366	3136	1136
367	3142	1127
368	3150	1118
369	3157	1109
370	3165	1100
371	3172	1091
372	3181	1083
373	3188	1074
374	3196	1065
375	3205	1056
376	3213	1048
377	3221	1039
378	3229	1031
379	3236	1022
380	3243	1012
381	3250	1004
382	3256	994
383	3265	986
384	3273	977
385	3281	969
386	3289	960
387	3296	951
388	3304	943
389	3313	934
390	3320	925
391	3327	916
392	3335	908
393	3342	899
394	3349	890
395	3357	881
396	3364	873
397	3372	864
398	3380	855
399	3388	847
400	3396	838
401	3404	829
402	3411	821
403	3417	812
404	3426	803
405	3434	795
406	3442	786
407	3449	777
408	3457	769
409	3464	760
410	3471	751
411	3479	743
412	3486	734
